RefId,IsBadBuy,VehicleAge,PriceDifferential,UsageIntensity,IsManual
1,0,3.00,704.00,29682.00,0.00
2,0,5.00,-602.00,18718.60,0.00
3,0,4.00,-833.00,18451.75,0.00
4,0,5.00,49.00,13123.40,0.00
5,0,4.00,666.00,17341.75,1.00
6,0,5.00,-808.00,16210.80,0.00
7,0,5.00,-14.00,13065.60,0.00
8,0,4.00,-400.00,16451.25,0.00
9,0,2.00,-221.00,24960.50,0.00
10,0,2.00,-1322.00,42436.00,0.00
11,0,4.00,-469.00,20020.00,0.00
12,0,8.00,297.00,9427.38,1.00
13,1,4.00,-582.00,19828.75,0.00
14,0,4.00,-292.00,17813.50,0.00
15,0,3.00,-953.00,24907.33,0.00
16,0,6.00,100.00,12022.00,1.00
17,0,4.00,-928.00,20184.00,0.00
18,0,6.00,-757.00,12526.00,0.00
19,0,4.00,-124.00,16481.25,0.00
20,0,5.00,-89.00,16899.60,0.00
21,0,7.00,-1168.00,7798.00,0.00
22,0,7.00,-881.00,9505.14,0.00
23,0,5.00,-156.00,19626.00,0.00
24,0,3.00,-369.00,19929.67,0.00
25,0,2.00,-1208.00,32831.50,0.00
26,1,5.00,-541.00,10421.20,0.00
27,0,7.00,-143.00,12708.29,0.00
28,0,5.00,-752.00,15234.60,0.00
29,0,5.00,-620.00,13078.60,0.00
30,0,4.00,-736.00,20016.00,0.00
31,0,6.00,310.00,12949.00,0.00
32,1,7.00,-73.00,8042.86,0.00
33,0,3.00,47.00,26080.33,0.00
34,0,5.00,-1625.00,11544.60,1.00
35,0,4.00,-1399.00,19608.50,0.00
36,1,8.00,-35.00,10368.00,0.00
37,0,4.00,-450.00,19076.00,0.00
38,0,6.00,23.00,9285.17,0.00
39,0,5.00,-1046.00,15317.20,0.00
40,1,5.00,0.00,13015.60,0.00
41,0,3.00,-788.00,21801.00,0.00
42,1,5.00,0.00,17377.80,0.00
43,0,6.00,-586.00,11498.33,0.00
44,0,2.00,-1149.00,40474.50,0.00
45,0,6.00,-1420.00,8795.67,0.00
46,1,6.00,0.00,12031.83,0.00
47,0,7.00,-189.00,8551.14,0.00
48,1,8.00,0.00,9947.00,0.00
49,1,6.00,546.00,12215.17,0.00
50,1,4.00,0.00,12556.75,0.00
51,0,7.00,246.00,11735.14,0.00
52,0,4.00,-194.00,14506.00,1.00
