,TOTAL_VALUE,TAX,LOT_SQFT,YR_BUILT,GROSS_AREA,LIVING_AREA,FLOORS,ROOMS,BEDROOMS,FULL_BATH,HALF_BATH,KITCHEN,FIREPLACE
TOTAL_VALUE,1,0.999999974,0.546123367,-0.100916791,0.800518804,0.83712044,0.481522973,0.638539067,0.561871366,0.432806937,0.348167273,0.018264631,0.358567032
TAX,0.999999974,1,0.546119842,-0.100917684,0.800517926,0.837121884,0.481523526,0.638541768,0.561872405,0.432805783,0.34816486,0.018261275,0.358565594
LOT_SQFT,0.546123367,0.546119842,1,-0.068907528,0.448879512,0.426045068,0.073661977,0.308394655,0.254105572,0.201317207,0.134995576,0.044525051,0.181878654
YR_BUILT,-0.100916791,-0.100917684,-0.068907528,1,-0.167928226,-0.131273999,-0.190452696,-0.144686287,-0.130411022,0.073706261,0.060685426,0.052091194,0.087234369
GROSS_AREA,0.800518804,0.800517926,0.448879512,-0.167928226,1,0.899775004,0.300666006,0.65150096,0.571791226,0.419734242,0.2266833,0.030500746,0.270080376
LIVING_AREA,0.83712044,0.837121884,0.426045068,-0.131273999,0.899775004,1,0.475824477,0.720671122,0.641040745,0.437987025,0.30109822,0.082824797,0.262158827
FLOORS,0.481522973,0.481523526,0.073661977,-0.190452696,0.300666006,0.475824477,1,0.432856335,0.431242288,0.112165992,0.316142173,-0.114601746,0.120506212
ROOMS,0.638539067,0.638541768,0.308394655,-0.144686287,0.65150096,0.720671122,0.432856335,1,0.710693461,0.378273971,0.282654599,0.129223151,0.205222589
BEDROOMS,0.561871366,0.561872405,0.254105572,-0.130411022,0.571791226,0.641040745,0.431242288,0.710693461,1,0.332620283,0.256852282,0.085353027,0.164379953
FULL_BATH,0.432806937,0.432805783,0.201317207,0.073706261,0.419734242,0.437987025,0.112165992,0.378273971,0.332620283,1,-0.130628451,0.146650171,0.14015999
HALF_BATH,0.348167273,0.34816486,0.134995576,0.060685426,0.2266833,0.30109822,0.316142173,0.282654599,0.256852282,-0.130628451,1,-0.020070628,0.176234044
KITCHEN,0.018264631,0.018261275,0.044525051,0.052091194,0.030500746,0.082824797,-0.114601746,0.129223151,0.085353027,0.146650171,-0.020070628,1,-0.009561733
FIREPLACE,0.358567032,0.358565594,0.181878654,0.087234369,0.270080376,0.262158827,0.120506212,0.205222589,0.164379953,0.14015999,0.176234044,-0.009561733,1
