RefId,IsBadBuy,VehicleAge,PriceDifferential,UsageIntensity,IsManual
1,0,3.0,704.0,29682.0,0.0
2,0,5.0,-602.0,18718.6,0.0
3,0,4.0,-833.0,18451.75,0.0
4,0,5.0,49.0,13123.4,0.0
5,0,4.0,666.0,17341.75,1.0
6,0,5.0,-808.0,16210.8,0.0
7,0,5.0,-14.0,13065.6,0.0
8,0,4.0,-400.0,16451.25,0.0
9,0,2.0,-221.0,24960.5,0.0
10,0,2.0,-1322.0,42436.0,0.0
11,0,4.0,-469.0,20020.0,0.0
12,0,8.0,297.0,9427.38,1.0
13,1,4.0,-582.0,19828.75,0.0
14,0,4.0,-292.0,17813.5,0.0
15,0,3.0,-953.0,24907.33,0.0
16,0,6.0,100.0,12022.0,1.0
17,0,4.0,-928.0,20184.0,0.0
18,0,6.0,-757.0,12526.0,0.0
19,0,4.0,-124.0,16481.25,0.0
20,0,5.0,-89.0,16899.6,0.0
21,0,7.0,-1168.0,7798.0,0.0
22,0,7.0,-881.0,9505.14,0.0
23,0,5.0,-156.0,19626.0,0.0
24,0,3.0,-369.0,19929.67,0.0
25,0,2.0,-1208.0,32831.5,0.0
26,1,5.0,-541.0,10421.2,0.0
27,0,7.0,-143.0,12708.29,0.0
28,0,5.0,-752.0,15234.6,0.0
29,0,5.0,-620.0,13078.6,0.0
30,0,4.0,-736.0,20016.0,0.0
31,0,6.0,310.0,12949.0,0.0
32,1,7.0,-73.0,8042.86,0.0
33,0,3.0,47.0,26080.33,0.0
34,0,5.0,-1625.0,11544.6,1.0
35,0,4.0,-1399.0,19608.5,0.0
36,1,8.0,-35.0,10368.0,0.0
37,0,4.0,-450.0,19076.0,0.0
38,0,6.0,23.0,9285.17,0.0
39,0,5.0,-1046.0,15317.2,0.0
40,1,5.0,0.0,13015.6,0.0
41,0,3.0,-788.0,21801.0,0.0
42,1,5.0,0.0,17377.8,0.0
43,0,6.0,-586.0,11498.33,0.0
44,0,2.0,-1149.0,40474.5,0.0
45,0,6.0,-1420.0,8795.67,0.0
46,1,6.0,0.0,12031.83,0.0
47,0,7.0,-189.0,8551.14,0.0
48,1,8.0,0.0,9947.0,0.0
49,1,6.0,546.0,12215.17,0.0
50,1,4.0,0.0,12556.75,0.0
51,0,7.0,246.0,11735.14,0.0
52,0,4.0,-194.0,14506.0,1.0
53,0,4.0,-733.0,10229.75,0.0
54,0,5.0,-1044.0,17528.6,0.0
55,0,5.0,-576.0,16193.6,1.0
56,0,4.0,-662.0,12577.0,0.0
57,0,3.0,-504.0,26931.67,0.0
58,0,4.0,0.0,15559.75,0.0
59,1,6.0,-447.0,14501.33,0.0
60,0,4.0,-446.0,16015.0,0.0
61,0,8.0,-759.0,9709.63,0.0
62,0,7.0,63.0,8412.57,0.0
63,0,4.0,-1232.0,15889.25,0.0
64,1,7.0,577.0,12860.86,0.0
65,0,5.0,-1081.0,17941.0,0.0
66,0,6.0,-32.0,10751.83,0.0
67,1,5.0,806.0,15102.6,0.0
68,0,4.0,181.0,20152.0,0.0
69,1,9.0,-365.0,10617.56,0.0
70,0,3.0,-432.0,11932.0,0.0
71,0,4.0,-19.0,20875.25,0.0
72,0,3.0,-367.0,23382.67,0.0
73,0,4.0,-231.0,19013.0,0.0
74,0,4.0,-819.0,18119.75,0.0
75,0,5.0,-499.0,16908.4,0.0
76,0,5.0,-1262.0,12216.2,0.0
77,1,9.0,-1116.0,9609.22,0.0
78,0,4.0,-371.0,10974.5,0.0
79,0,4.0,-334.0,14334.5,0.0
80,1,7.0,-252.0,8489.29,0.0
81,0,5.0,-456.0,15991.4,0.0
82,0,7.0,-754.0,11222.71,0.0
83,0,3.0,-863.0,16128.67,0.0
84,0,7.0,-1534.0,11445.29,0.0
85,0,6.0,-356.0,10965.83,1.0
86,0,5.0,-412.0,10229.0,0.0
87,0,6.0,62.0,14727.67,0.0
88,0,5.0,-970.0,11181.8,0.0
89,0,5.0,484.0,17340.4,0.0
90,0,4.0,-212.0,20356.0,0.0
91,0,6.0,-1043.0,10896.5,0.0
92,0,6.0,-745.0,12492.33,0.0
93,0,8.0,-1123.0,6166.0,0.0
94,0,7.0,-554.0,10544.29,1.0
95,0,3.0,-675.0,14470.67,0.0
96,0,6.0,87.0,13068.67,0.0
97,0,6.0,-1168.0,12337.67,0.0
98,1,8.0,-905.0,8102.75,0.0
99,0,6.0,-855.0,13415.17,0.0
100,0,5.0,0.0,17000.6,0.0
101,0,4.0,-379.0,16427.75,0.0
102,0,5.0,-720.0,11212.8,0.0
103,0,4.0,-1029.0,15557.5,0.0
104,0,3.0,-199.0,20730.0,0.0
105,0,5.0,-566.0,13485.2,0.0
106,0,6.0,-305.0,12634.33,0.0
107,0,5.0,-9.0,17798.2,0.0
108,0,3.0,-3032.0,29949.67,0.0
109,0,4.0,-350.0,20334.5,0.0
110,0,5.0,-284.0,16015.4,0.0
111,0,8.0,-27.0,9654.13,0.0
112,0,5.0,-195.0,13336.2,0.0
113,0,9.0,-352.0,9169.56,0.0
114,0,3.0,101.0,27310.0,0.0
115,0,4.0,1783.0,18532.75,0.0
116,0,7.0,51.0,10345.29,0.0
117,0,3.0,-245.0,21372.67,0.0
118,0,5.0,-498.0,14284.6,0.0
119,0,6.0,-204.0,10775.0,0.0
120,0,5.0,-419.0,17077.6,0.0
121,0,6.0,192.0,15907.17,0.0
122,0,4.0,956.0,17334.25,0.0
123,0,3.0,154.0,15521.0,0.0
124,0,6.0,-983.0,14150.83,1.0
125,0,3.0,-366.0,23687.33,0.0
126,0,4.0,-418.0,20249.75,0.0
127,0,3.0,-2178.0,22181.67,0.0
128,0,6.0,708.0,11297.5,1.0
129,0,3.0,-330.0,23984.0,0.0
130,0,4.0,511.0,17685.25,0.0
131,0,7.0,266.0,13474.0,0.0
132,0,5.0,908.0,13888.0,0.0
133,0,5.0,22.0,10853.6,0.0
134,1,7.0,0.0,8438.86,0.0
135,0,6.0,1068.0,14338.0,0.0
136,0,6.0,-37.0,10779.5,0.0
137,0,7.0,163.0,9839.14,0.0
138,1,7.0,227.0,9222.0,0.0
139,0,5.0,2270.0,14797.6,1.0
140,0,4.0,160.0,5970.25,1.0
141,0,3.0,531.0,16844.0,0.0
142,1,5.0,350.0,12110.8,0.0
143,0,7.0,741.0,13079.71,0.0
144,1,9.0,-430.0,7041.89,0.0
145,0,6.0,80.0,9898.5,0.0
146,0,3.0,-106.0,14789.0,0.0
147,0,5.0,661.0,8903.0,0.0
148,0,9.0,330.0,9248.67,0.0
149,0,8.0,223.0,11566.5,0.0
150,0,3.0,548.0,22721.67,0.0
151,0,6.0,262.0,14629.17,0.0
152,0,9.0,215.0,9601.56,0.0
153,0,4.0,823.0,9035.5,0.0
154,0,6.0,375.0,13464.67,0.0
155,0,5.0,-269.0,18669.2,0.0
156,1,3.0,204.0,24654.33,0.0
157,0,3.0,607.0,22727.67,0.0
158,0,5.0,612.0,12967.8,0.0
159,0,8.0,-210.0,9435.5,1.0
160,0,6.0,-692.0,9881.17,0.0
161,0,4.0,141.0,15787.75,0.0
162,0,5.0,-442.0,9339.0,0.0
163,0,7.0,78.0,8413.86,0.0
164,0,5.0,-44.0,13072.6,0.0
165,0,8.0,-150.0,9404.63,0.0
166,0,4.0,238.0,21260.5,0.0
167,0,4.0,662.0,21925.25,0.0
168,0,7.0,350.0,13259.43,0.0
169,0,7.0,787.0,13888.71,0.0
170,0,5.0,349.0,14745.2,0.0
171,0,5.0,941.0,9510.0,0.0
172,0,6.0,818.0,10513.17,0.0
173,0,6.0,205.0,10677.33,0.0
174,0,7.0,196.0,12575.29,0.0
175,0,5.0,266.0,16432.8,0.0
176,0,4.0,510.0,21190.75,0.0
177,0,5.0,235.0,10422.6,0.0
178,0,3.0,99.0,16631.0,0.0
179,0,7.0,421.0,13254.57,0.0
180,0,4.0,421.0,11500.25,0.0
181,1,6.0,908.0,10498.33,0.0
182,1,6.0,43.0,13165.33,0.0
183,0,4.0,239.0,16114.5,0.0
184,1,6.0,662.0,10087.0,0.0
185,1,8.0,-638.0,9215.63,0.0
186,0,4.0,842.0,17803.5,0.0
187,0,6.0,954.0,10088.33,0.0
188,0,5.0,1102.0,13339.0,0.0
189,0,4.0,478.0,22257.5,0.0
190,0,4.0,-711.0,9106.25,0.0
191,0,5.0,559.0,11764.6,0.0
192,0,5.0,-733.0,14518.4,0.0
193,0,4.0,1153.0,19753.75,0.0
194,0,8.0,361.0,11083.38,0.0
195,0,4.0,377.0,14624.75,0.0
196,0,5.0,629.0,19005.0,0.0
197,0,2.0,-47.0,25322.0,0.0
198,0,4.0,23.0,22208.0,0.0
199,0,7.0,158.0,9720.0,0.0
200,0,3.0,401.0,19461.33,0.0
201,0,3.0,600.0,26428.0,0.0
202,0,6.0,726.0,13484.33,0.0
203,0,6.0,295.0,15668.5,0.0
204,0,8.0,916.0,10859.38,0.0
205,0,3.0,127.0,20439.67,0.0
206,0,6.0,1211.0,13222.17,0.0
207,0,7.0,82.0,13271.0,0.0
208,0,5.0,227.0,11960.2,0.0
209,0,5.0,729.0,15021.6,1.0
210,0,7.0,340.0,9670.86,0.0
211,0,5.0,-345.0,10077.0,0.0
212,0,5.0,561.0,11690.0,0.0
213,0,4.0,503.0,18767.5,1.0
214,0,4.0,296.0,18467.5,0.0
215,0,3.0,909.0,14511.67,1.0
216,0,4.0,34.0,13920.75,1.0
217,0,5.0,191.0,11736.2,0.0
218,0,4.0,587.0,15698.75,0.0
219,0,6.0,-257.0,12863.0,0.0
220,1,5.0,472.0,13886.0,0.0
221,0,4.0,-140.0,21616.5,0.0
222,0,4.0,631.0,17370.0,0.0
223,0,7.0,247.0,12334.86,0.0
224,0,8.0,265.0,9878.75,0.0
225,0,8.0,948.0,11813.25,0.0
226,0,4.0,466.0,19446.5,0.0
227,0,5.0,457.0,13486.0,0.0
228,0,6.0,437.0,12234.83,1.0
229,0,3.0,315.0,20067.0,0.0
230,0,3.0,1197.0,16432.0,0.0
231,1,4.0,306.0,15328.75,0.0
232,0,4.0,632.0,21113.5,1.0
233,0,5.0,-705.0,17052.4,0.0
234,0,2.0,254.0,36496.5,0.0
235,0,5.0,873.0,17953.8,1.0
236,0,5.0,647.0,13710.0,0.0
237,0,4.0,413.0,15738.75,0.0
238,0,5.0,21.0,15020.2,0.0
239,0,5.0,-388.0,17634.6,0.0
240,0,4.0,619.0,13197.75,0.0
241,0,5.0,364.0,17066.8,0.0
242,0,3.0,-162.0,23010.0,0.0
243,0,5.0,1165.0,12911.0,0.0
244,0,9.0,669.0,7381.44,0.0
245,0,5.0,260.0,15410.0,0.0
246,0,4.0,239.0,21097.0,0.0
247,0,4.0,-215.0,13216.5,1.0
248,0,7.0,-222.0,6525.71,0.0
249,0,3.0,760.0,21165.33,1.0
250,1,9.0,0.0,8732.56,0.0
251,0,8.0,211.0,11674.38,0.0
252,0,4.0,380.0,13365.75,1.0
253,0,6.0,1469.0,13846.83,0.0
254,0,6.0,690.0,12193.17,0.0
255,0,4.0,440.0,18789.25,0.0
256,0,5.0,44.0,14703.2,1.0
257,0,6.0,106.0,10909.83,0.0
258,0,9.0,279.0,10310.22,0.0
259,0,6.0,66.0,13711.83,0.0
260,0,5.0,-116.0,17744.6,0.0
261,0,5.0,-280.0,14404.0,0.0
262,0,5.0,366.0,15476.0,0.0
263,0,4.0,344.0,12693.25,0.0
264,0,5.0,11.0,11785.8,0.0
265,0,8.0,-221.0,9987.25,0.0
266,0,4.0,-391.0,22943.25,0.0
267,0,6.0,613.0,10378.5,0.0
268,1,4.0,333.0,16642.0,0.0
269,1,3.0,315.0,21026.33,0.0
270,0,8.0,-181.0,10269.75,0.0
271,0,6.0,527.0,10056.67,1.0
272,0,5.0,834.0,18594.8,0.0
273,0,5.0,-1186.0,14994.0,0.0
274,0,3.0,403.0,20744.33,0.0
275,1,6.0,0.0,13180.17,0.0
276,0,7.0,-218.0,7965.14,1.0
277,0,3.0,796.0,17880.67,0.0
278,0,3.0,448.0,24610.33,0.0
279,0,3.0,444.0,29509.33,0.0
280,0,6.0,-102.0,15678.5,0.0
281,0,3.0,-158.0,12945.67,0.0
282,1,3.0,485.0,29814.33,0.0
283,0,6.0,510.0,16263.5,0.0
284,0,4.0,545.0,21473.5,0.0
285,0,3.0,525.0,17591.67,0.0
286,0,2.0,-63.0,26772.0,0.0
287,0,4.0,253.0,17086.0,0.0
288,0,4.0,461.0,19927.0,0.0
289,0,6.0,90.0,13225.33,0.0
290,0,4.0,14.0,17806.75,0.0
291,0,5.0,-255.0,8759.0,1.0
292,0,2.0,-207.0,39993.0,0.0
293,0,8.0,468.0,9204.75,0.0
294,0,6.0,292.0,12449.5,0.0
295,0,4.0,1007.0,21087.25,0.0
296,0,5.0,461.0,13980.4,0.0
297,0,2.0,4.0,35261.5,0.0
298,0,4.0,155.0,15977.0,0.0
299,0,4.0,316.0,13433.5,0.0
300,1,2.0,-54.0,25644.0,0.0
301,0,5.0,879.0,8302.6,0.0
302,0,6.0,-1676.0,11834.17,0.0
303,0,3.0,-49.0,12839.0,0.0
304,0,2.0,1594.0,25274.5,0.0
305,0,8.0,586.0,9317.25,0.0
306,0,6.0,-403.0,12815.83,0.0
307,0,3.0,-109.0,21407.67,0.0
308,0,6.0,370.0,12925.33,0.0
309,0,4.0,312.0,22769.5,0.0
310,0,4.0,367.0,18071.75,0.0
311,0,5.0,1214.0,17300.0,0.0
312,0,2.0,-695.0,35878.5,0.0
313,0,6.0,-817.0,15477.5,0.0
314,0,2.0,-143.0,39877.5,0.0
315,0,8.0,-558.0,11862.25,0.0
316,0,4.0,-24.0,21612.75,0.0
317,1,7.0,1105.0,10610.43,0.0
318,0,1.0,-206.0,79732.0,0.0
319,1,3.0,496.0,15851.67,0.0
320,0,6.0,-440.0,15413.67,0.0
321,0,2.0,216.0,44021.0,0.0
322,0,4.0,-595.0,24578.75,0.0
323,0,7.0,-685.0,11777.71,0.0
324,0,4.0,515.0,24398.25,0.0
325,0,2.0,19.0,27348.0,0.0
326,1,2.0,168.0,30592.0,0.0
327,0,5.0,-247.0,14231.6,0.0
328,0,1.0,-1486.0,80120.0,0.0
329,0,6.0,441.0,12855.83,1.0
330,0,3.0,-356.0,31401.0,0.0
331,0,2.0,-556.0,24704.0,0.0
332,0,2.0,469.0,16356.5,0.0
333,0,6.0,-1131.0,13407.33,0.0
334,0,1.0,-1037.0,60559.0,0.0
335,0,5.0,-393.0,17890.4,0.0
336,0,5.0,470.0,19464.0,0.0
337,0,2.0,-657.0,31728.0,0.0
338,0,6.0,33.0,14577.17,0.0
339,0,4.0,28.0,22767.75,0.0
340,0,3.0,267.0,23343.0,0.0
341,1,1.0,-498.0,62846.0,0.0
342,0,2.0,-608.0,22140.5,0.0
343,0,6.0,-286.0,10010.0,0.0
344,0,7.0,-320.0,7503.71,0.0
345,0,3.0,348.0,28347.33,0.0
346,0,5.0,1260.0,16627.0,0.0
347,0,5.0,-124.0,21467.4,0.0
348,0,3.0,134.0,25632.67,0.0
349,0,4.0,-366.0,17413.5,0.0
350,0,4.0,461.0,18546.75,0.0
351,0,5.0,-188.0,15201.4,0.0
352,0,6.0,58.0,12646.33,0.0
353,0,5.0,-284.0,8887.4,0.0
354,0,4.0,-169.0,21959.75,0.0
355,0,4.0,278.0,20561.5,0.0
356,0,4.0,-648.0,16570.5,0.0
357,0,5.0,224.0,17680.0,0.0
358,1,7.0,-460.0,10950.0,0.0
359,0,2.0,-142.0,30443.0,0.0
360,0,3.0,419.0,25313.33,0.0
361,0,4.0,-774.0,14009.75,0.0
362,0,6.0,417.0,8182.83,0.0
363,0,2.0,-1438.0,25563.5,0.0
364,0,4.0,350.0,19424.25,0.0
365,0,5.0,-834.0,14443.2,0.0
366,1,7.0,-213.0,12286.14,0.0
367,0,9.0,-41.0,5224.33,0.0
368,0,3.0,-345.0,22250.0,0.0
369,0,3.0,-764.0,25455.0,0.0
370,0,4.0,645.0,24589.5,0.0
371,0,4.0,-383.0,17580.5,0.0
372,0,3.0,136.0,29700.0,0.0
373,0,7.0,-523.0,10220.29,0.0
374,0,2.0,427.0,36701.0,0.0
375,0,7.0,-120.0,13986.0,0.0
376,0,4.0,-850.0,8167.75,0.0
377,0,4.0,175.0,22354.25,0.0
378,0,2.0,-2185.0,17827.5,0.0
379,0,3.0,-196.0,13636.33,0.0
380,0,5.0,216.0,14173.6,0.0
381,0,2.0,544.0,25562.5,0.0
382,0,8.0,-190.0,10792.63,0.0
383,0,2.0,545.0,27210.5,0.0
384,0,9.0,-309.0,5606.22,0.0
385,0,3.0,-777.0,27215.33,0.0
386,0,6.0,328.0,12880.17,0.0
387,0,4.0,-1421.0,15403.0,0.0
388,0,3.0,-441.0,25953.67,0.0
389,0,5.0,-187.0,15331.8,0.0
390,0,1.0,271.0,56849.0,0.0
391,0,4.0,-509.0,21186.75,0.0
392,0,2.0,-1443.0,36045.0,0.0
393,0,2.0,104.0,41410.0,0.0
394,0,7.0,161.0,11477.29,0.0
395,0,6.0,-43.0,17968.33,0.0
396,0,5.0,-612.0,22011.0,0.0
397,0,5.0,-430.0,13341.6,0.0
398,0,5.0,-20.0,10952.0,0.0
399,0,2.0,-127.0,36996.5,0.0
400,0,4.0,-401.0,16948.75,0.0
401,0,5.0,-69.0,14317.0,0.0
402,0,3.0,1283.0,25010.33,0.0
403,0,5.0,-1371.0,16523.4,0.0
404,0,4.0,-910.0,15579.0,0.0
405,0,7.0,-373.0,11556.57,0.0
406,0,6.0,-382.0,12524.83,0.0
407,0,4.0,-122.0,19178.0,0.0
408,0,6.0,-142.0,13534.83,0.0
409,0,4.0,-649.0,13697.5,0.0
410,0,3.0,-110.0,28823.67,0.0
411,0,7.0,173.0,12137.57,0.0
412,1,2.0,-609.0,39546.0,0.0
413,0,7.0,-403.0,10175.29,0.0
