,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
Age,1.0,-0.13414029751875536,-0.13482228554960315,-0.15732988817106322,-0.17322347601886326,-0.1490770528838307,-0.1507663221654272,-0.279528599839462,0.17480810916345552,-0.010507382711036396,0.12584700426955875,-0.051627269843214,-0.1593984539513444,-0.18428310812001633,-0.10927225640179081,-0.12264058263480825
Events,-0.13414029751875536,1.0,0.9482680227291387,0.7227909444412494,0.13283302590474838,0.03040291774073145,0.10022305043608355,0.030388512290671597,-0.08746799570305254,-0.07667375077084368,-0.2712173459070496,0.02783730424349909,0.3936986331388486,0.8360958147577201,0.8991395676883294,0.8731455825640462
Rounds,-0.13482228554960315,0.9482680227291387,1.0,0.8956422609979606,0.3111382463011706,0.14145719878108534,0.29176922629171015,0.09077877437222863,-0.05311616998035375,0.028085221321772744,-0.34966866436754407,0.06780670198871168,0.4719298986908393,0.9283456318196704,0.9549063081103176,0.8928988623870138
Cuts Made,-0.15732988817106322,0.7227909444412494,0.8956422609979606,1.0,0.5324935849983958,0.2992336203671845,0.5397869309836991,0.18414141433294048,-0.029136273730428097,0.16220820364403202,-0.41107135386122956,0.13553639711530555,0.49989584542738774,0.8943161458296413,0.8558101470476763,0.7625670338440099
Top 10s,-0.17322347601886326,0.13283302590474838,0.3111382463011706,0.5324935849983958,1.0,0.612241692293733,0.8880867045453401,0.341935232181109,-0.08673148584946046,0.241040325356925,-0.4667873455110743,0.1512180215958554,0.3441553341633032,0.4481645576575404,0.2804269611822312,0.1513840247081867
Wins,-0.1490770528838307,0.03040291774073145,0.14145719878108534,0.2992336203671845,0.612241692293733,1.0,0.8072568764087866,0.27908336045865334,-0.08878571998075646,0.12826755334879475,-0.3098453472986184,0.06633050872143675,0.23452368276168842,0.24019310644941577,0.10859381960956348,0.06073506237643958
Earnings,-0.1507663221654272,0.10022305043608355,0.29176922629171015,0.5397869309836991,0.8880867045453401,0.8072568764087866,1.0,0.36780480142314437,-0.08264408320728298,0.24541521914581693,-0.45022600085302283,0.15336252373529047,0.38926194590514185,0.42154367355333755,0.2498606436789479,0.14834035280012609
Yards/Drive,-0.279528599839462,0.030388512290671597,0.09077877437222863,0.18414141433294048,0.341935232181109,0.27908336045865334,0.36780480142314437,1.0,-0.5264745868258627,0.39260796765628037,-0.05111724507881184,-0.18884264440699755,0.375299634766345,0.23445762326931724,0.0590485694720194,0.09275895341139091
Driving Accuracy,0.17480810916345552,-0.08746799570305254,-0.05311616998035375,-0.029136273730428097,-0.08673148584946046,-0.08878571998075646,-0.08264408320728298,-0.5264745868258627,1.0,0.28479957309231746,0.21954614723251395,-0.06753070220319482,-0.11149784808576468,-0.09382906527390904,-0.001586449994935556,-0.12977166788828431
Greens in Regulation,-0.010507382711036396,-0.07667375077084368,0.028085221321772744,0.16220820364403202,0.241040325356925,0.12826755334879475,0.24541521914581693,0.39260796765628037,0.28479957309231746,1.0,0.28278149001180075,-0.2909134431050947,0.1806749729161733,0.13330230559201553,0.05761131364711484,-0.10270067378676033
Putting Average,0.12584700426955875,-0.2712173459070496,-0.34966866436754407,-0.41107135386122956,-0.4667873455110743,-0.3098453472986184,-0.45022600085302283,-0.05111724507881184,0.21954614723251395,0.28278149001180075,1.0,-0.30733409984881227,-0.29094346364819756,-0.452361275802718,-0.29284049330695583,-0.25936736260700355
Sand Save Pct,-0.051627269843214,0.02783730424349909,0.06780670198871168,0.13553639711530555,0.1512180215958554,0.06633050872143675,0.15336252373529047,-0.18884264440699755,-0.06753070220319482,-0.2909134431050947,-0.30733409984881227,1.0,-0.08836669992332828,0.04042548842882719,0.043281976864322655,-0.05642336132921496
Eagles,-0.1593984539513444,0.3936986331388486,0.4719298986908393,0.49989584542738774,0.3441553341633032,0.23452368276168842,0.38926194590514185,0.375299634766345,-0.11149784808576468,0.1806749729161733,-0.29094346364819756,-0.08836669992332828,1.0,0.5380972420958722,0.4721836014568008,0.4773045262111899
Birdies,-0.18428310812001633,0.8360958147577201,0.9283456318196704,0.8943161458296413,0.4481645576575404,0.24019310644941577,0.42154367355333755,0.23445762326931724,-0.09382906527390904,0.13330230559201553,-0.452361275802718,0.04042548842882719,0.5380972420958722,1.0,0.9449638482786269,0.881158799309905
Pars,-0.10927225640179081,0.8991395676883294,0.9549063081103176,0.8558101470476763,0.2804269611822312,0.10859381960956348,0.2498606436789479,0.0590485694720194,-0.001586449994935556,0.05761131364711484,-0.29284049330695583,0.043281976864322655,0.4721836014568008,0.9449638482786269,1.0,0.9111734068136668
Bogies,-0.12264058263480825,0.8731455825640462,0.8928988623870138,0.7625670338440099,0.1513840247081867,0.06073506237643958,0.14834035280012609,0.09275895341139091,-0.12977166788828431,-0.10270067378676033,-0.25936736260700355,-0.05642336132921496,0.4773045262111899,0.881158799309905,0.9111734068136668,1.0
