IsBadBuy,VehicleAge,VehOdo,MMRAcquisitionAuctionAveragePrice,IsGermanVeh
0,3,89046,8155,0
0,5,93593,6854,0
0,4,73807,3202,0
0,5,65617,1893,0
0,4,69367,3913,0
0,5,81054,3901,0
0,5,65328,2966,0
0,4,65805,3313,0
0,2,49921,6196,0
0,2,84872,7845,0
0,4,80080,5243,0
0,8,75419,3168,0
1,4,79315,4225,0
0,4,71254,5684,0
0,3,74722,6999,0
0,6,72132,2228,0
0,4,80736,6742,0
0,6,75156,2756,0
0,4,65925,3983,0
0,5,84498,7347,0
0,7,54586,2139,0
0,7,66536,3522,0
0,5,98130,2290,0
0,3,59789,5693,0
0,2,65663,5830,0
1,5,52106,2619,0
0,7,88958,5367,0
0,5,76173,6407,0
0,5,65393,7243,0
0,4,80064,5439,0
0,6,77694,7220,0
1,7,56300,2989,0
0,3,78241,8864,0
0,5,57723,4335,0
0,4,78434,10272,0
1,8,82944,1805,0
0,4,76304,4649,0
0,6,55711,2742,0
0,5,76586,7482,0
1,5,65078,7669,0
0,3,65403,7149,0
1,5,86889,4522,0
0,6,68990,6109,0
0,2,80949,7868,0
0,6,52774,6451,0
1,6,72191,7033,0
0,7,59858,2599,0
1,8,79576,2492,0
1,6,73291,3443,0
1,4,50227,6630,0
0,7,82146,6529,0
0,4,58024,4918,0
0,4,40919,5456,0
0,5,87643,2755,0
0,5,80968,3224,0
0,4,50308,8219,0
0,3,80795,8806,0
0,4,62239,10883,0
1,6,87008,5925,0
0,4,64060,6299,0
0,8,77677,2136,0
0,7,58888,4064,0
0,4,63557,6961,0
1,7,90026,8811,0
0,5,89705,5094,0
0,6,64511,2448,0
1,5,75513,10122,0
0,4,80608,4407,0
1,9,95558,2006,0
0,3,35796,5019,0
0,4,83501,7841,0
0,3,70148,9670,0
0,4,76052,5034,0
0,4,72479,3620,0
0,5,84542,3214,0
0,5,61081,6208,0
1,9,86483,5498,0
0,4,43898,4465,0
0,4,57338,8597,0
1,7,59425,6216,0
0,5,79957,6242,0
0,7,78559,6412,0
0,3,48386,7470,0
0,7,80117,6216,0
0,6,65795,2765,0
0,5,51145,5294,0
0,6,88366,2575,0
0,5,55909,7350,0
0,5,86702,12004,0
0,4,81424,7387,0
0,6,65379,4704,0
0,6,74954,6115,0
0,8,49328,4081,0
0,7,73810,2105,0
0,3,43412,5628,0
0,6,78412,4220,0
0,6,74026,6964,0
1,8,64822,3442,0
0,6,80491,6601,0
0,5,85003,4645,0
0,4,65711,5039,0
0,5,56064,9202,0
0,4,62230,9090,0
0,3,62190,5207,0
0,5,67426,7224,0
0,6,75806,7512,0
0,5,88991,4343,0
0,3,89849,12075,0
0,4,81338,8890,0
0,5,80077,4858,0
0,8,77233,2072,0
0,5,66681,8153,0
0,9,82526,2698,0
0,3,81930,10573,0
0,4,74131,10883,0
0,7,72417,3115,0
0,3,64118,8549,0
0,5,71423,7174,0
0,6,64650,3898,0
0,5,85388,3689,0
0,6,95443,2953,0
0,4,69337,6627,0
0,3,46563,5398,0
0,6,84905,4033,0
0,3,71062,7939,0
0,4,80999,7058,0
0,3,66545,9693,0
0,6,67785,3103,0
0,3,71952,9653,0
0,4,70741,7146,0
0,7,94318,5825,0
0,5,69440,7173,0
0,5,54268,3739,0
1,7,59072,3458,0
0,6,86028,5069,0
0,6,64677,7102,0
0,7,68874,2974,0
1,7,64554,3129,0
0,5,73988,8028,0
0,4,23881,4325,0
0,3,50532,5660,0
1,5,60554,4690,0
0,7,91558,8630,0
1,9,63377,4769,0
0,6,59391,4526,0
0,3,44367,6132,0
0,5,44515,4198,0
0,9,83238,2752,0
0,8,92532,4934,0
0,3,68165,7151,0
0,6,87775,3667,0
0,9,86414,3506,0
0,4,36142,6587,0
0,6,80788,3122,0
0,5,93346,5880,0
1,3,73963,6261,0
0,3,68183,5410,0
0,5,64839,8725,0
0,8,75484,4661,0
0,6,59287,2734,0
0,4,63151,6843,0
0,5,46695,8578,0
0,7,58897,4055,0
0,5,65363,8086,0
0,8,75237,4783,0
0,4,85042,4872,0
0,4,87701,7477,0
0,7,92816,6120,0
0,7,97221,3666,0
0,5,73726,3295,0
0,5,47550,5785,0
0,6,63079,3309,0
0,6,64064,3593,0
0,7,88027,4871,0
0,5,82164,4016,0
0,4,84763,5528,0
0,5,52113,3851,0
0,3,49893,6269,0
0,7,92782,3741,0
0,4,46001,5551,0
1,6,62990,6217,0
1,6,78992,6702,0
0,4,64458,6874,0
1,6,60522,4196,0
1,8,73725,4862,0
0,4,71214,8857,0
0,6,60530,4196,0
0,5,66695,4668,0
0,4,89030,7807,0
0,4,36425,5017,0
0,5,58823,4346,0
0,5,72592,6975,0
0,4,79015,11290,0
0,8,88667,3061,0
0,4,58499,5557,0
0,5,95025,6403,0
0,2,50644,7813,0
0,4,88832,5241,0
0,7,68040,2269,0
0,3,58384,8186,0
0,3,79284,7418,0
0,6,80906,8817,0
0,6,94011,4759,0
0,8,86875,7898,0
0,3,61319,7346,0
0,6,79333,4065,0
0,7,92897,3250,0
0,5,59801,7020,0
0,5,75108,6264,0
0,7,67696,4817,0
0,5,50385,5388,0
0,5,58450,6121,0
0,4,75070,7837,0
0,4,73870,5116,0
0,3,43535,5244,0
0,4,55683,5052,0
0,5,58681,5843,0
0,4,62795,4222,0
0,6,77178,6484,0
1,5,69430,4481,0
0,4,86466,8051,0
0,4,69480,4895,0
0,7,86344,5703,0
0,8,79030,4160,0
