IsBadBuy,VehicleAge,PriceDifferential, UsageIntensity ,IsManual
0.00,3.00,704.00," 29,682.00 ",0.00
0.00,5.00,-602.00," 18,718.60 ",0.00
0.00,4.00,-833.00," 18,451.75 ",0.00
0.00,5.00,49.00," 13,123.40 ",0.00
0.00,4.00,666.00," 17,341.75 ",1.00
0.00,5.00,-808.00," 16,210.80 ",0.00
0.00,5.00,-14.00," 13,065.60 ",0.00
0.00,4.00,-400.00," 16,451.25 ",0.00
0.00,2.00,-221.00," 24,960.50 ",0.00
0.00,2.00,-1322.00," 42,436.00 ",0.00
0.00,4.00,-469.00," 20,020.00 ",0.00
0.00,8.00,297.00," 9,427.38 ",1.00
1.00,4.00,-582.00," 19,828.75 ",0.00
0.00,4.00,-292.00," 17,813.50 ",0.00
0.00,3.00,-953.00," 24,907.33 ",0.00
0.00,6.00,100.00," 12,022.00 ",1.00
0.00,4.00,-928.00," 20,184.00 ",0.00
0.00,6.00,-757.00," 12,526.00 ",0.00
0.00,4.00,-124.00," 16,481.25 ",0.00
0.00,5.00,-89.00," 16,899.60 ",0.00
0.00,7.00,-1168.00," 7,798.00 ",0.00
0.00,7.00,-881.00," 9,505.14 ",0.00
0.00,5.00,-156.00," 19,626.00 ",0.00
0.00,3.00,-369.00," 19,929.67 ",0.00
0.00,2.00,-1208.00," 32,831.50 ",0.00
1.00,5.00,-541.00," 10,421.20 ",0.00
0.00,7.00,-143.00," 12,708.29 ",0.00
0.00,5.00,-752.00," 15,234.60 ",0.00
0.00,5.00,-620.00," 13,078.60 ",0.00
0.00,4.00,-736.00," 20,016.00 ",0.00
0.00,6.00,310.00," 12,949.00 ",0.00
1.00,7.00,-73.00," 8,042.86 ",0.00
0.00,3.00,47.00," 26,080.33 ",0.00
0.00,5.00,-1625.00," 11,544.60 ",1.00
0.00,4.00,-1399.00," 19,608.50 ",0.00
1.00,8.00,-35.00," 10,368.00 ",0.00
0.00,4.00,-450.00," 19,076.00 ",0.00
0.00,6.00,23.00," 9,285.17 ",0.00
0.00,5.00,-1046.00," 15,317.20 ",0.00
1.00,5.00,0.00," 13,015.60 ",0.00
0.00,3.00,-788.00," 21,801.00 ",0.00
